Category,Element,Property,Mode,Standard (Majority),Consistent,Inconsistent Pages & Values,Expected Behavior
Header,Header bar,Background color,Light,"rgb(255, 255, 255)",Yes,,Header background must match the design-system token on every page.
Header,Header bar,Height,Light,70px,Yes,,Header height must be identical across pages.
Header,Header bar,Box shadow / border,Light,none,Yes,,Header elevation/border treatment must be consistent.
Sidebar,Sidebar container,Background color,Light,"rgb(255, 255, 255)",Yes,,Sidebar background must match the design-system token on every page.
Sidebar,Sidebar container,Width,Light,280px,Yes,,Sidebar width must be identical across pages.
Sidebar,Nav item,Font size,Light,14px,Yes,,Sidebar nav item font size must be identical across pages.
Sidebar,Nav item,Font weight,Light,500,Yes,,Sidebar nav item font weight must be identical across pages.
Sidebar,Nav item,Text color,Light,oklch(0.141 0.005 285.823),Yes,,Sidebar nav item text color must be identical across pages.
Footer,Footer,Present,Light,true,Yes,,A shared footer should be present (or absent) consistently on every page.
Footer,Footer,Background color,Light,"rgba(0, 0, 0, 0)",Yes,,Footer background must match the design-system token on every page.
Footer,Footer,Font size,Light,16px,Yes,,Footer text size must be consistent on every page.
Navigation,Breadcrumb,Present,Light,true,No,Home (Dashboard)=false | Orders=false,Every list/detail page should show a breadcrumb.
Navigation,Breadcrumb,Font size,Light,14px,Yes,,Breadcrumb font size must be consistent on every page.
Navigation,Breadcrumb,Text color,Light,oklch(0.21 0.006 285.885),Yes,,Breadcrumb text color must be consistent on every page.
Typography,Page title (h1),Font size,Light,24px,No,Products=20px,Page title size must follow one consistent scale.
Typography,Page title (h1),Font weight,Light,600,Yes,,Page title weight must follow one consistent scale.
Typography,Page title (h1),Color,Light,oklch(0.141 0.005 285.823),Yes,,Page title color must be consistent.
Typography,Page title (h1),Font family,Light,"Inter, sans-serif",Yes,,Page title font family must match the body font.
Typography,Section heading (card title),Present,Light,false,No,Home (Dashboard)=true,Card/section headings should be used consistently where a page has sub-sections.
Typography,Section heading (card title),Font size,Light,16px,Yes,,Section heading size must be consistent where present.
Typography,Body text,Font family,Light,"Inter, sans-serif",Yes,,One font family for all body text.
Typography,Body text,Font size,Light,16px,Yes,,Base body font size must be consistent.
Typography,Body text,Line height,Light,24px,Yes,,Base line height must be consistent.
Typography,Body text,Color,Light,oklch(0.141 0.005 285.823),Yes,,Base text color must be consistent.
Buttons,Primary button,Present,Light,true,Yes,,Every page with a primary action should expose it as a .kt-btn-primary button.
Buttons,Primary button,Background color,Light,oklch(0.623 0.214 259.815),Yes,,Primary button color must be identical everywhere.
Buttons,Primary button,Text color,Light,"rgb(255, 255, 255)",Yes,,Primary button text color must be identical everywhere.
Buttons,Primary button,Border radius,Light,6px,Yes,,Primary button border radius must be identical everywhere.
Buttons,Primary button,Font size,Light,13px,Yes,,Primary button font size must be identical everywhere.
Buttons,Primary button,Font weight,Light,500,Yes,,Primary button font weight must be identical everywhere.
Forms,Search input,Present,Light,true,Yes,,List pages should expose a consistent search input.
Forms,Search input,Border color,Light,oklch(0.141 0.005 285.823),Yes,,Input border color must be identical everywhere.
Forms,Search input,Border radius,Light,0px,Yes,,Input border radius must be identical everywhere.
Forms,Search input,Font size,Light,13px,Yes,,Input font size must be identical everywhere.
Tables,Data table,Present,Light,true,Yes,,Every list page should render its data as a table.
Tables,Data table,Bordered style (kt-table-border),Light,true,Yes,,All tables should use the same bordered/borderless style.
Tables,Table header cell,Background color,Light,oklab(0.967 0.000281923 -0.000959437 / 0.4),Yes,,Table header background must be identical across pages.
Tables,Table header cell,Font size,Light,14px,No,Home (Dashboard)=12px | Inventory Warehouses=12px,Table header font size must be identical across pages.
Tables,Table header cell,Font weight,Light,400,No,Home (Dashboard)=500 | Inventory - All=500 | Inventory Warehouses=700,Table header font weight must be identical across pages.
Tables,Table header cell,Text align,Light,left,No,Home (Dashboard)=center | Inventory Warehouses=center,Table header text alignment must be identical across pages.
Badges,Status badge/pill,Present,Light,false,No,Orders=true | Shipments=true | Categories=true | Service Providers - Warehouses=true,Status values should render via one shared badge/pill component.
Badges,Status badge/pill,Border radius,Light,6px,Yes,,Badge border radius must be identical across pages.
Badges,Status badge/pill,Font size,Light,12px,Yes,,Badge font size must be identical across pages.
Spacing,Main content area,Max width,Light,none,Yes,,Main content max-width must be identical across pages.
Spacing,Main content area,Left padding,Light,40px,Yes,,Main content padding must be identical across pages.
Header,Header bar,Background color,Dark,oklch(0.141 0.005 285.823),Yes,,Header background must match the design-system token on every page.
Header,Header bar,Height,Dark,70px,Yes,,Header height must be identical across pages.
Header,Header bar,Box shadow / border,Dark,none,Yes,,Header elevation/border treatment must be consistent.
Sidebar,Sidebar container,Background color,Dark,oklch(0.141 0.005 285.823),Yes,,Sidebar background must match the design-system token on every page.
Sidebar,Sidebar container,Width,Dark,280px,Yes,,Sidebar width must be identical across pages.
Sidebar,Nav item,Font size,Dark,14px,Yes,,Sidebar nav item font size must be identical across pages.
Sidebar,Nav item,Font weight,Dark,500,Yes,,Sidebar nav item font weight must be identical across pages.
Sidebar,Nav item,Text color,Dark,oklch(0.985 0 0),Yes,,Sidebar nav item text color must be identical across pages.
Footer,Footer,Present,Dark,true,Yes,,A shared footer should be present (or absent) consistently on every page.
Footer,Footer,Background color,Dark,"rgba(0, 0, 0, 0)",Yes,,Footer background must match the design-system token on every page.
Footer,Footer,Font size,Dark,16px,Yes,,Footer text size must be consistent on every page.
Navigation,Breadcrumb,Present,Dark,true,No,Home (Dashboard)=false | Orders=false,Every list/detail page should show a breadcrumb.
Navigation,Breadcrumb,Font size,Dark,14px,Yes,,Breadcrumb font size must be consistent on every page.
Navigation,Breadcrumb,Text color,Dark,oklch(0.985 0 0),Yes,,Breadcrumb text color must be consistent on every page.
Typography,Page title (h1),Font size,Dark,24px,No,Products=20px,Page title size must follow one consistent scale.
Typography,Page title (h1),Font weight,Dark,600,Yes,,Page title weight must follow one consistent scale.
Typography,Page title (h1),Color,Dark,oklch(0.985 0 0),Yes,,Page title color must be consistent.
Typography,Page title (h1),Font family,Dark,"Inter, sans-serif",Yes,,Page title font family must match the body font.
Typography,Section heading (card title),Present,Dark,false,No,Home (Dashboard)=true,Card/section headings should be used consistently where a page has sub-sections.
Typography,Section heading (card title),Font size,Dark,16px,Yes,,Section heading size must be consistent where present.
Typography,Body text,Font family,Dark,"Inter, sans-serif",Yes,,One font family for all body text.
Typography,Body text,Font size,Dark,16px,Yes,,Base body font size must be consistent.
Typography,Body text,Line height,Dark,24px,Yes,,Base line height must be consistent.
Typography,Body text,Color,Dark,oklch(0.985 0 0),Yes,,Base text color must be consistent.
Buttons,Primary button,Present,Dark,true,Yes,,Every page with a primary action should expose it as a .kt-btn-primary button.
Buttons,Primary button,Background color,Dark,oklch(0.546 0.245 262.881),Yes,,Primary button color must be identical everywhere.
Buttons,Primary button,Text color,Dark,"rgb(255, 255, 255)",Yes,,Primary button text color must be identical everywhere.
Buttons,Primary button,Border radius,Dark,6px,Yes,,Primary button border radius must be identical everywhere.
Buttons,Primary button,Font size,Dark,13px,Yes,,Primary button font size must be identical everywhere.
Buttons,Primary button,Font weight,Dark,500,Yes,,Primary button font weight must be identical everywhere.
Forms,Search input,Present,Dark,true,Yes,,List pages should expose a consistent search input.
Forms,Search input,Border color,Dark,oklch(0.985 0 0),Yes,,Input border color must be identical everywhere.
Forms,Search input,Border radius,Dark,0px,Yes,,Input border radius must be identical everywhere.
Forms,Search input,Font size,Dark,13px,Yes,,Input font size must be identical everywhere.
Tables,Data table,Present,Dark,true,Yes,,Every list page should render its data as a table.
Tables,Data table,Bordered style (kt-table-border),Dark,true,Yes,,All tables should use the same bordered/borderless style.
Tables,Table header cell,Background color,Dark,oklab(0.21 0.00164225 -0.00577088 / 0.4),Yes,,Table header background must be identical across pages.
Tables,Table header cell,Font size,Dark,14px,No,Home (Dashboard)=12px | Inventory Warehouses=12px,Table header font size must be identical across pages.
Tables,Table header cell,Font weight,Dark,400,No,Home (Dashboard)=500 | Inventory - All=500 | Inventory Warehouses=700,Table header font weight must be identical across pages.
Tables,Table header cell,Text align,Dark,left,No,Home (Dashboard)=center | Inventory Warehouses=center,Table header text alignment must be identical across pages.
Badges,Status badge/pill,Present,Dark,false,No,Orders=true | Shipments=true | Categories=true | Service Providers - Warehouses=true,Status values should render via one shared badge/pill component.
Badges,Status badge/pill,Border radius,Dark,6px,Yes,,Badge border radius must be identical across pages.
Badges,Status badge/pill,Font size,Dark,12px,Yes,,Badge font size must be identical across pages.
Spacing,Main content area,Max width,Dark,none,Yes,,Main content max-width must be identical across pages.
Spacing,Main content area,Left padding,Dark,40px,Yes,,Main content padding must be identical across pages.
Responsive,Sidebar at 375px width,Visible (should collapse off-canvas),N/A,false,Yes,,Sidebar should collapse off-canvas below the lg breakpoint on every page.
Responsive,Hamburger toggle at 375px width,Visible,N/A,true,Yes,,A sidebar-toggle (hamburger) button should appear on every page below the lg breakpoint.
Dark Mode Coverage,Header background,Changes between light and dark mode,Light→Dark,true,Yes,,"This element should re-theme when switching to dark mode, the same way it does on every other page."
Dark Mode Coverage,Sidebar background,Changes between light and dark mode,Light→Dark,true,Yes,,"This element should re-theme when switching to dark mode, the same way it does on every other page."
Dark Mode Coverage,Footer background,Changes between light and dark mode,Light→Dark,false,Yes,,"This element should re-theme when switching to dark mode, the same way it does on every other page."
Dark Mode Coverage,Body text color,Changes between light and dark mode,Light→Dark,true,Yes,,"This element should re-theme when switching to dark mode, the same way it does on every other page."
Dark Mode Coverage,Primary button background,Changes between light and dark mode,Light→Dark,true,Yes,,"This element should re-theme when switching to dark mode, the same way it does on every other page."
Empty States,Table empty-state indicator,Observed on pages with 0 rows,N/A,(none of the 13 pages had 0 rows at crawl time),Yes,,Informational only — re-run when a page is known to be empty to compare its empty-state styling.
