Area of the App,Page Element,What Was Checked,Theme (Light or Dark),Standard Style (Used on Most Pages),Same on Every Page?,Pages That Look Different (and How),What It Should Look Like
Header,Header bar,Background color,Light,#FFFFFF,Yes,,Header background must match the design-system token on every page. Every page already matches: #FFFFFF.
Header,Header bar,Height,Light,70px,Yes,,Header height must be identical across pages. Every page already matches: 70px.
Header,Header bar,Box shadow / border,Light,none,Yes,,Header elevation/border treatment must be consistent. Every page already matches: none.
Sidebar,Sidebar container,Background color,Light,#FFFFFF,Yes,,Sidebar background must match the design-system token on every page. Every page already matches: #FFFFFF.
Sidebar,Sidebar container,Width,Light,280px,Yes,,Sidebar width must be identical across pages. Every page already matches: 280px.
Sidebar,Nav item,Font size,Light,14px,Yes,,Sidebar nav item font size must be identical across pages. Every page already matches: 14px.
Sidebar,Nav item,Font weight,Light,500,Yes,,Sidebar nav item font weight must be identical across pages. Every page already matches: 500.
Sidebar,Nav item,Text color,Light,#09090B,Yes,,Sidebar nav item text color must be identical across pages. Every page already matches: #09090B.
Footer,Footer,Present,Light,This page has a footer,Yes,,A shared footer should be present (or absent) consistently on every page. Every page already matches: This page has a footer.
Footer,Footer,Background color,Light,transparent,Yes,,Footer background must match the design-system token on every page. Every page already matches: transparent.
Footer,Footer,Font size,Light,16px,Yes,,Footer text size must be consistent on every page. Every page already matches: 16px.
Navigation,Breadcrumb,Present,Light,"Shows a breadcrumb trail (e.g. ""Section > Page"") near the top",No,Home (Dashboard) looks like this instead: Shows no breadcrumb trail; Orders looks like this instead: Shows no breadcrumb trail,"Every list/detail page should show a breadcrumb. On most pages it looks like this: Shows a breadcrumb trail (e.g. ""Section > Page"") near the top."
Navigation,Breadcrumb,Font size,Light,14px,Yes,,Breadcrumb font size must be consistent on every page. Every page already matches: 14px.
Navigation,Breadcrumb,Text color,Light,#18181B,Yes,,Breadcrumb text color must be consistent on every page. Every page already matches: #18181B.
Typography,Page title (h1),Font size,Light,24px,No,Products looks like this instead: 20px,Page title size must follow one consistent scale. On most pages it looks like this: 24px.
Typography,Page title (h1),Font weight,Light,600,Yes,,Page title weight must follow one consistent scale. Every page already matches: 600.
Typography,Page title (h1),Color,Light,#09090B,Yes,,Page title color must be consistent. Every page already matches: #09090B.
Typography,Page title (h1),Font family,Light,"Inter, sans-serif",Yes,,"Page title font family must match the body font. Every page already matches: Inter, sans-serif."
Typography,Section heading (card title),Present,Light,Has no section heading — just the page title,No,Home (Dashboard) looks like this instead: Has a labeled section heading above part of the page,Card/section headings should be used consistently where a page has sub-sections. On most pages it looks like this: Has no section heading — just the page title.
Typography,Section heading (card title),Font size,Light,16px,Yes,,Section heading size must be consistent where present. Every page already matches: 16px.
Typography,Body text,Font family,Light,"Inter, sans-serif",Yes,,"One font family for all body text. Every page already matches: Inter, sans-serif."
Typography,Body text,Font size,Light,16px,Yes,,Base body font size must be consistent. Every page already matches: 16px.
Typography,Body text,Line height,Light,24px,Yes,,Base line height must be consistent. Every page already matches: 24px.
Typography,Body text,Color,Light,#09090B,Yes,,Base text color must be consistent. Every page already matches: #09090B.
Buttons,Primary button,Present,Light,"Has a main call-to-action button (e.g. ""+ Add"")",Yes,,"Every page with a primary action should expose it as a .kt-btn-primary button. Every page already matches: Has a main call-to-action button (e.g. ""+ Add"")."
Buttons,Primary button,Background color,Light,#2B7FFF,Yes,,Primary button color must be identical everywhere. Every page already matches: #2B7FFF.
Buttons,Primary button,Text color,Light,#FFFFFF,Yes,,Primary button text color must be identical everywhere. Every page already matches: #FFFFFF.
Buttons,Primary button,Border radius,Light,6px,Yes,,Primary button border radius must be identical everywhere. Every page already matches: 6px.
Buttons,Primary button,Font size,Light,13px,No,Shipments looks like this instead: 12px,Primary button font size must be identical everywhere. On most pages it looks like this: 13px.
Buttons,Primary button,Font weight,Light,500,Yes,,Primary button font weight must be identical everywhere. Every page already matches: 500.
Forms,Search input,Present,Light,Has a search box,Yes,,List pages should expose a consistent search input. Every page already matches: Has a search box.
Forms,Search input,Border color,Light,#09090B,Yes,,Input border color must be identical everywhere. Every page already matches: #09090B.
Forms,Search input,Border radius,Light,0px,Yes,,Input border radius must be identical everywhere. Every page already matches: 0px.
Forms,Search input,Font size,Light,13px,Yes,,Input font size must be identical everywhere. Every page already matches: 13px.
Tables,Data table,Present,Light,Shows its data as a table,Yes,,Every list page should render its data as a table. Every page already matches: Shows its data as a table.
Tables,Table header row,Background color (the <tr> behind the header cells),Light,transparent,No,Home (Dashboard) looks like this instead: #F9FAFB; Inventory Warehouses looks like this instead: #F9FAFB,Table header row background must be identical across pages. On most pages it looks like this: transparent.
Tables,Table header cell,"Background color (the <th> cell itself — a see-through layer, so a page's true header color is this composited with the row background above)",Light,#F5F5F5,Yes,,Table header cell background must be identical across pages. Every page already matches: #F5F5F5.
